name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X10C1L30 5M,M30,Flush,10 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,82.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X10C1L30-M1,M30,Flush,10 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,80 mm,65 mm,IP67/IP69K
E2E-X10C230 2M,M30,Flush,10 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,60.3 mm,39 mm,IP67/IP67G/IP69K
E2E-X10C230 5M,M30,Flush,10 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,60.3 mm,39 mm,IP67/IP67G/IP69K
E2E-X10C230-M1,M30,Flush,10 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,58 mm,39 mm,IP67/IP69K
E2E-X10C2L30 2M,M30,Flush,10 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,82.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X10C2L30-M1,M30,Flush,10 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,80 mm,65 mm,IP67/IP69K
E2E-X10C330-M1,M30,Flush,10 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,58 mm,39 mm,IP67/IP69K
E2E-X10MB1T12 2M,M12,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X10MB1T12-M1,M12,Non-flush,10 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,26 mm,IP67/IP69K
E2E-X10MB1T12-M1TJ 0.3M,M12,Non-flush,10 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X10MB1T12-R 2M,M12,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X10MB1T18 10M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB1T18 2M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB1T18 5M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB1T18-M1,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),53 mm,28 mm,IP67/IP69K
E2E-X10MB1T18-M1TJ 0.3M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB1T18-R 2M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB1TL12 2M,M12,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X10MB1TL12-M1,M12,Non-flush,10 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,48 mm,IP67/IP69K
E2E-X10MB1TL12-M1TJ 0.3M,M12,Non-flush,10 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X10MB1TL18 2M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X10MB1TL18 5M,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X10MB1TL18-M1,M18,Non-flush,10 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),75 mm,50 mm,IP67/IP69K
E2E-X10MB212 2M,M12,Non-flush,10 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X10MB212-M1,M12,Non-flush,10 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X10MB218 2M,M18,Non-flush,10 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB218 5M,M18,Non-flush,10 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,28 mm,IP67/IP67G/IP69K
E2E-X10MB218-M1,M18,Non-flush,10 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,28 mm,IP67/IP69K
E2E-X10MB2L12 2M,M12,Non-flush,10 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
